Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,â‰¥.500,<.500
1,PHI,102,60,.630,---,---,4.4,3.3,1.1,-0.1,1.0,103-59,-1,43-29,27-16,23-9,9-6,52-29,50-31,9-10,28-19,72-46,30-14,37-25,65-35
2,MIL,96,66,.593,---,---,4.5,3.9,0.5,-0.2,0.3,90-72,6,20-14,51-29,19-14,6-9,57-24,39-42,7-7,30-18,78-48,18-18,27-34,69-32
3,ARI,94,68,.580,---,---,4.5,4.1,0.4,-0.2,0.2,88-74,6,18-14,23-17,43-29,10-8,51-30,43-38,9-4,28-16,70-44,24-24,32-32,62-36
4,STL,90,72,.556,---,---,4.7,4.3,0.4,-0.2,0.2,88-74,2,22-13,44-35,16-17,8-7,45-36,45-36,8-13,26-23,71-52,19-20,30-30,60-42
5,ATL,89,73,.549,1.0,1.0,4.0,3.7,0.2,-0.1,0.1,85-77,4,36-36,22-17,21-15,10-5,47-34,42-39,14-12,29-26,65-50,24-23,28-32,61-41
6,SFG,86,76,.531,4.0,7.0,3.5,3.6,0.0,-0.1,-0.2,80-82,6,13-20,20-22,43-29,10-5,46-35,40-41,13-8,33-22,60-58,26-18,32-34,54-42
7,LAD,82,79,.509,7.5,17.5,4.0,3.8,0.2,-0.2,0.0,84-77,-2,15-17,22-20,39-33,6-9,42-39,40-40,8-3,23-21,58-59,24-20,33-38,49-41
8,WSN,80,81,.497,9.5,25.5,3.9,4.0,-0.1,-0.1,-0.2,78-83,2,36-36,20-19,16-19,8-7,44-36,36-45,12-8,27-27,61-64,19-17,35-37,45-44
9,CIN,79,83,.488,11.0,33.0,4.5,4.4,0.1,-0.2,-0.1,83-79,-4,13-20,42-37,18-14,6-12,42-39,37-44,12-5,29-33,62-61,17-22,36-37,43-46
10,NYM,77,85,.475,13.0,45.0,4.4,4.6,-0.1,0.0,-0.1,79-83,-2,33-39,19-20,16-17,9-9,34-47,43-38,7-7,21-28,59-63,18-22,38-44,39-41
11,COL,73,89,.451,17.0,73.0,4.5,4.8,-0.2,-0.1,-0.3,77-85,-4,15-18,22-20,28-44,8-7,38-43,35-46,4-8,21-27,48-66,25-23,30-58,43-31
12,PIT,72,90,.444,18.0,81.0,3.8,4.4,-0.6,-0.2,-0.8,70-92,2,12-22,39-41,13-20,8-7,36-45,36-45,6-7,21-22,49-68,23-22,28-44,44-46
13,FLA,72,90,.444,18.0,81.0,3.9,4.3,-0.5,0.0,-0.4,72-90,0,32-40,20-20,12-20,8-10,31-47,41-43,9-13,27-32,49-67,23-23,28-54,44-36
14,CHC,71,91,.438,19.0,91.0,4.0,4.7,-0.6,-0.1,-0.7,70-92,1,15-18,34-46,17-17,5-10,39-42,32-49,9-5,25-28,51-67,20-24,30-43,41-48
15,SDP,71,91,.438,19.0,91.0,3.7,3.8,-0.1,-0.1,-0.2,79-83,-8,19-19,19-18,27-45,6-9,35-46,36-45,4-12,20-31,52-61,19-30,31-54,40-37
16,HOU,56,106,.346,34.0,271.0,3.8,4.9,-1.1,-0.1,-1.2,62-100,-6,10-21,28-50,14-24,4-11,31-50,25-56,5-13,20-28,34-80,22-26,24-56,32-50