Rk,,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
1,Hank Aaron HOF,1982,23,1954,1976,25,137.3,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,0.305,0.374,0.555,0.928
3,Roberto Alomar HOF,2011,17,1988,2004,12,62.9,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,0.3,0.371,0.443,0.814
6,Cap Anson HOF,1939,27,1871,1897,0,91.1,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,0.334,0.394,0.447,0.841
7,Luis Aparicio HOF,1984,18,1956,1973,13,51.7,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,0.262,0.311,0.343,0.653
8,Luke Appling HOF,1964,20,1930,1950,7,69.9,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,0.31,0.399,0.398,0.798
9,Richie Ashburn HOF,1995,15,1948,1962,6,60.2,2189,9736,8365,1322,2574,317,109,29,586,234,92,1198,571,0.308,0.396,0.382,0.778
10,Earl Averill HOF,1975,13,1929,1941,6,45.1,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,0.318,0.395,0.534,0.928
11,Home Run Baker HOF,1955,13,1908,1922,0,59.5,1575,6663,5984,887,1838,315,103,96,987,235,54,473,346,0.307,0.363,0.442,0.805
12,Dave Bancroft HOF,1971,16,1915,1930,0,46.5,1913,8248,7182,1048,2004,320,77,32,591,145,75,827,487,0.279,0.355,0.358,0.714
13,Ernie Banks HOF,1977,19,1953,1971,14,62.5,2528,10394,9421,1305,2583,407,90,512,1636,50,53,763,1236,0.274,0.33,0.5,0.83
14,Jake Beckley HOF,1971,20,1888,1907,0,57.1,2389,10504,9538,1602,2934,473,244,87,1578,315,,616,524,0.308,0.361,0.436,0.797
15,Johnny Bench HOF,1989,17,1967,1983,14,72.3,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,0.267,0.342,0.476,0.817
17,Yogi Berra HOF,1972,19,1946,1965,18,56.1,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,0.285,0.348,0.482,0.83
19,Wade Boggs HOF,2005,18,1982,1999,12,88.3,2440,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,0.328,0.415,0.443,0.858
20,Jim Bottomley HOF,1974,16,1922,1937,0,32.8,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,0.31,0.369,0.5,0.869
21,Lou Boudreau HOF,1970,15,1938,1952,8,59.1,1646,7024,6029,861,1779,385,66,68,789,51,50,796,309,0.295,0.38,0.415,0.795
22,Roger Bresnahan HOF,1945,17,1897,1915,0,39.1,1446,5374,4481,682,1252,218,71,26,530,212,4,714,405,0.279,0.386,0.377,0.764
23,George Brett HOF,1999,21,1973,1993,13,84,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,0.305,0.369,0.487,0.857
24,Lou Brock HOF,1985,19,1961,1979,6,42.8,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,0.293,0.343,0.41,0.753
25,Dan Brouthers HOF,1945,19,1879,1904,0,76.9,1673,7676,6711,1523,2296,460,205,106,1296,256,,840,238,0.342,0.423,0.519,0.942
27,Willard Brown HOF,2006,1,1947,1947,0,-0.7,21,67,67,4,12,3,0,1,6,2,2,0,7,0.179,0.179,0.269,0.448
29,Jesse Burkett HOF,1946,16,1890,1905,0,60.5,2067,9620,8426,1720,2850,320,182,75,952,389,,1029,613,0.338,0.415,0.446,0.861
30,Roy Campanella HOF,1969,10,1948,1957,8,31.6,1215,4815,4205,627,1161,178,18,242,856,25,15,533,501,0.276,0.36,0.5,0.86
31,Rod Carew HOF,1991,19,1967,1985,18,76.6,2469,10550,9315,1424,3053,445,112,92,1015,353,187,1018,1028,0.328,0.393,0.429,0.822
32,Max Carey HOF,1961,20,1910,1929,0,51.1,2476,10770,9363,1545,2665,419,159,70,800,738,109,1040,695,0.285,0.361,0.386,0.747
34,Gary Carter HOF,2003,19,1974,1992,11,66.4,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,0.262,0.335,0.439,0.773
35,Orlando Cepeda HOF,1999,17,1958,1974,11,46.1,2124,8698,7927,1131,2351,417,27,379,1365,142,80,588,1169,0.297,0.35,0.499,0.849
36,Frank Chance HOF,1946,17,1898,1914,0,43.5,1288,5103,4299,798,1274,200,79,20,596,403,0,556,320,0.296,0.394,0.394,0.788
38,Fred Clarke HOF,1945,21,1894,1915,0,64.2,2246,9838,8584,1622,2678,361,220,67,1015,509,0,875,509,0.312,0.386,0.429,0.814
40,Roberto Clemente HOF,1973,18,1955,1972,15,89.8,2433,10211,9454,1416,3000,440,166,240,1305,83,46,621,1230,0.317,0.359,0.475,0.834
41,Ty Cobb HOF,1936,24,1905,1928,0,144.9,3034,13078,11434,2246,4189,724,295,117,1938,897,212,1249,680,0.366,0.433,0.512,0.945
42,Mickey Cochrane HOF,1947,13,1925,1937,2,48.9,1482,6207,5169,1041,1652,333,64,119,832,64,45,857,217,0.32,0.419,0.478,0.897
43,Eddie Collins HOF,1939,25,1906,1930,0,118.5,2826,12040,9949,1821,3315,438,187,47,1300,741,195,1499,468,0.333,0.424,0.429,0.853
44,Jimmy Collins HOF,1945,14,1895,1908,0,50.1,1725,7452,6795,1055,1999,352,116,65,983,194,,426,266,0.294,0.343,0.409,0.752
45,Earle Combs HOF,1970,12,1924,1935,0,40,1455,6513,5746,1186,1866,309,154,58,632,98,71,670,278,0.325,0.397,0.462,0.859
48,Roger Connor HOF,1976,18,1880,1897,0,80.6,1998,8847,7797,1620,2467,441,233,138,1323,244,,1002,455,0.316,0.397,0.486,0.883
50,Sam Crawford HOF,1957,19,1899,1917,0,69.9,2517,10594,9570,1391,2961,458,309,97,1525,367,43,760,579,0.309,0.362,0.452,0.814
51,Joe Cronin HOF,1956,20,1926,1945,7,61.9,2124,8840,7579,1233,2285,515,118,170,1424,87,71,1059,700,0.301,0.39,0.468,0.857
53,Kiki Cuyler HOF,1968,18,1921,1938,1,44.4,1879,8100,7161,1305,2299,394,157,128,1065,328,27,676,752,0.321,0.386,0.474,0.86
54,George Davis HOF,1998,20,1890,1909,0,80.2,2372,10178,9045,1545,2665,453,163,73,1440,619,,874,610,0.295,0.362,0.405,0.767
55,Andre Dawson HOF,2010,21,1976,1996,8,60.6,2627,10769,9927,1373,2774,503,98,438,1591,314,109,589,1509,0.279,0.323,0.482,0.806
57,Ed Delahanty HOF,1945,16,1888,1903,0,66.5,1837,8400,7511,1600,2597,522,186,101,1466,455,,741,439,0.346,0.411,0.505,0.916
58,Bill Dickey HOF,1954,17,1928,1946,11,52.4,1789,7064,6300,930,1969,343,72,202,1209,36,32,678,289,0.313,0.382,0.486,0.868
59,Joe DiMaggio HOF,1955,13,1936,1951,13,75.1,1736,7673,6821,1390,2214,389,131,361,1537,30,9,790,369,0.325,0.398,0.579,0.977
60,Larry Doby HOF,1998,13,1947,1959,7,47,1533,6299,5348,960,1515,243,52,253,970,47,36,871,1011,0.283,0.386,0.49,0.876
61,Bobby Doerr HOF,1986,14,1937,1951,9,47.4,1865,8028,7093,1094,2042,381,89,223,1247,54,64,809,608,0.288,0.362,0.461,0.823
63,Hugh Duffy HOF,1945,17,1888,1906,0,40.1,1737,7841,7044,1554,2293,325,119,106,1302,574,,664,268,0.326,0.386,0.451,0.837
66,Johnny Evers HOF,1946,18,1902,1929,0,45.2,1784,7210,6137,919,1659,216,70,12,538,324,26,778,294,0.27,0.356,0.334,0.69
67,Buck Ewing HOF,1939,18,1880,1897,0,45.7,1315,5772,5363,1129,1625,250,178,71,883,354,,392,294,0.303,0.351,0.456,0.807
70,Rick Ferrell HOF,1984,18,1929,1947,8,26.3,1884,7077,6028,687,1692,324,45,28,734,29,35,931,277,0.281,0.378,0.363,0.741
72,Carlton Fisk HOF,2000,24,1969,1993,11,63.7,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,0.269,0.341,0.457,0.797
73,Elmer Flick HOF,1963,13,1898,1910,0,50.2,1483,6414,5597,950,1752,268,164,48,756,330,,597,565,0.313,0.389,0.445,0.834
75,Nellie Fox HOF,1997,19,1947,1965,15,46.3,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,0.288,0.348,0.363,0.71
76,Jimmie Foxx HOF,1951,20,1925,1945,9,92.5,2317,9676,8134,1751,2646,458,125,534,1922,87,73,1452,1311,0.325,0.428,0.609,1.038
77,Frankie Frisch HOF,1947,19,1919,1937,3,68,2311,10099,9112,1532,2880,466,138,105,1244,419,74,728,272,0.316,0.369,0.432,0.801
79,Lou Gehrig HOF,1939,17,1923,1939,7,108.5,2164,9663,8001,1888,2721,534,163,493,1995,102,100,1508,790,0.34,0.447,0.632,1.08
80,Charlie Gehringer HOF,1949,19,1924,1942,6,76.6,2323,10244,8860,1774,2839,574,146,184,1427,181,90,1186,372,0.32,0.404,0.48,0.884
83,Joe Gordon HOF,2009,11,1938,1950,9,54,1566,6538,5707,914,1530,264,52,253,975,89,60,759,702,0.268,0.357,0.466,0.822
84,Goose Goslin HOF,1968,18,1921,1938,1,61,2287,9829,8656,1483,2735,500,173,248,1609,176,89,949,585,0.316,0.387,0.5,0.887
86,Hank Greenberg HOF,1956,13,1930,1947,5,55.1,1394,6097,5193,1051,1628,379,71,331,1276,58,26,852,844,0.313,0.412,0.605,1.017
90,Tony Gwynn HOF,2007,20,1982,2001,15,65.3,2440,10232,9288,1383,3141,543,85,135,1138,319,125,790,434,0.338,0.388,0.459,0.847
91,Chick Hafey HOF,1971,13,1924,1937,1,28.4,1283,5115,4625,777,1466,341,67,164,833,70,7,372,477,0.317,0.372,0.526,0.898
93,Billy Hamilton HOF,1961,14,1888,1901,0,61.1,1594,7608,6283,1697,2164,242,95,40,742,914,,1189,349,0.344,0.455,0.432,0.888
96,Gabby Hartnett HOF,1955,20,1922,1941,6,50.7,1990,7297,6432,867,1912,396,64,236,1179,28,7,703,697,0.297,0.37,0.489,0.858
97,Harry Heilmann HOF,1952,17,1914,1932,0,67.3,2147,8960,7787,1291,2660,542,151,183,1539,113,64,856,550,0.342,0.41,0.52,0.93
98,Rickey Henderson HOF,2009,25,1979,2003,10,106.8,3081,13346,10961,2295,3055,510,66,297,1115,1406,335,2190,1694,0.279,0.401,0.419,0.82
99,Billy Herman HOF,1975,15,1931,1947,10,52.5,1922,8639,7707,1163,2345,486,82,47,839,67,,737,428,0.304,0.367,0.407,0.774
101,Harry Hooper HOF,1971,17,1909,1925,0,49.4,2309,10250,8785,1429,2466,389,160,75,817,375,141,1136,584,0.281,0.368,0.387,0.755
102,Rogers Hornsby HOF,1942,23,1915,1937,0,124.6,2259,9481,8173,1579,2930,541,169,301,1584,135,64,1038,679,0.358,0.434,0.577,1.01
107,Monte Irvin HOF,1973,8,1949,1956,1,20.2,764,2892,2499,366,731,97,31,99,443,28,7,351,220,0.293,0.383,0.475,0.858
108,Reggie Jackson HOF,1993,21,1967,1987,14,68.4,2820,11418,9864,1551,2584,463,49,563,1702,228,115,1375,2597,0.262,0.356,0.49,0.846
109,Travis Jackson HOF,1982,15,1922,1936,1,42,1656,6680,6086,833,1768,291,86,135,929,71,13,412,565,0.291,0.337,0.433,0.77
111,Hughie Jennings HOF,1945,18,1891,1918,0,39.7,1284,5648,4895,992,1526,232,88,18,840,359,0,347,234,0.312,0.391,0.406,0.797
114,Al Kaline HOF,1980,22,1953,1974,18,87.4,2834,11596,10116,1622,3007,498,75,399,1583,137,65,1277,1020,0.297,0.376,0.48,0.855
116,Willie Keeler HOF,1939,19,1892,1910,0,50.7,2123,9610,8591,1719,2932,241,145,33,810,495,,524,136,0.341,0.388,0.415,0.802
117,George Kell HOF,1983,15,1943,1957,10,34.5,1795,7529,6702,881,2054,385,50,78,870,51,36,621,287,0.306,0.367,0.414,0.781
118,Joe Kelley HOF,1971,17,1891,1908,0,47.3,1853,8139,7006,1421,2220,358,194,65,1194,443,,911,429,0.317,0.402,0.451,0.853
119,High Pockets Kelly HOF,1973,16,1915,1932,0,23.4,1622,6569,5993,819,1778,337,76,148,1020,65,43,386,694,0.297,0.342,0.452,0.794
120,King Kelly HOF,1945,16,1878,1893,0,42.4,1455,6455,5894,1357,1813,359,102,69,950,368,,549,418,0.308,0.368,0.438,0.806
121,Harmon Killebrew HOF,1984,22,1954,1975,13,55.8,2435,9833,8147,1283,2086,290,24,573,1584,19,18,1559,1699,0.256,0.376,0.509,0.884
122,Ralph Kiner HOF,1975,10,1946,1955,6,46.2,1472,6256,5205,971,1451,216,39,369,1015,22,2,1011,749,0.279,0.398,0.548,0.946
123,Chuck Klein HOF,1980,17,1928,1944,2,41.5,1753,7170,6486,1168,2076,398,74,300,1201,79,,601,521,0.32,0.379,0.543,0.922
125,Nap Lajoie HOF,1937,21,1896,1916,0,102.2,2480,10460,9589,1504,3242,657,163,82,1599,380,26,516,346,0.338,0.38,0.466,0.846
126,Barry Larkin HOF,2012,19,1986,2004,12,67.1,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,0.295,0.371,0.444,0.815
128,Tony Lazzeri HOF,1991,14,1926,1939,1,46.2,1740,7314,6297,986,1840,334,115,178,1191,148,79,869,864,0.292,0.38,0.467,0.846
130,Freddie Lindstrom HOF,1976,13,1924,1936,0,26.8,1438,6108,5611,895,1747,301,81,103,779,84,10,334,276,0.311,0.351,0.449,0.8
131,Ernie Lombardi HOF,1986,17,1931,1947,8,43.6,1853,6351,5855,601,1792,277,27,190,990,8,,430,262,0.306,0.358,0.46,0.818
135,Mickey Mantle HOF,1974,18,1951,1968,20,105.5,2401,9907,8102,1676,2415,344,72,536,1509,153,38,1733,1710,0.298,0.421,0.557,0.977
136,Heinie Manush HOF,1964,17,1923,1939,1,41.5,2008,8419,7654,1287,2524,491,160,110,1183,113,59,506,345,0.33,0.377,0.479,0.856
137,Rabbit Maranville HOF,1954,23,1912,1935,0,39.4,2670,11256,10078,1255,2605,380,177,28,884,291,112,839,756,0.258,0.318,0.34,0.658
140,Eddie Mathews HOF,1978,17,1952,1968,12,91.9,2391,10100,8537,1509,2315,354,72,512,1453,68,39,1444,1487,0.271,0.376,0.509,0.885
142,Willie Mays HOF,1979,22,1951,1973,24,150.8,2992,12496,10881,2062,3283,523,140,660,1903,338,103,1464,1526,0.302,0.384,0.557,0.941
143,Bill Mazeroski HOF,2001,17,1956,1972,10,32.3,2163,8379,7755,769,2016,294,62,138,853,27,23,447,706,0.26,0.299,0.367,0.667
144,Tommy McCarthy HOF,1946,13,1884,1896,0,14.1,1273,5739,5120,1066,1493,191,53,44,732,468,,536,163,0.292,0.364,0.375,0.74
145,Willie McCovey HOF,1986,22,1959,1980,6,60.7,2588,9692,8197,1229,2211,353,46,521,1555,26,22,1345,1550,0.27,0.374,0.515,0.889
149,Bid McPhee HOF,2000,18,1882,1899,0,48.3,2138,9429,8304,1684,2258,303,189,53,1072,568,,982,313,0.272,0.355,0.373,0.728
150,Joe Medwick HOF,1968,17,1932,1948,10,52.4,1984,8143,7635,1198,2471,540,113,205,1383,42,,437,551,0.324,0.362,0.505,0.867
151,Johnny Mize HOF,1981,15,1936,1953,10,67.8,1884,7370,6443,1118,2011,367,83,359,1337,28,1,856,524,0.312,0.397,0.562,0.959
152,Paul Molitor HOF,2004,21,1978,1998,7,72.5,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,0.306,0.369,0.448,0.817
153,Joe Morgan HOF,1990,22,1963,1984,10,97.1,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,0.271,0.392,0.427,0.819
154,Eddie Murray HOF,2003,21,1977,1997,8,63.4,3026,12817,11336,1627,3255,560,35,504,1917,110,43,1333,1516,0.287,0.359,0.476,0.836
155,Stan Musial HOF,1969,22,1941,1963,24,123.4,3026,12717,10972,1949,3630,725,177,475,1951,78,31,1599,696,0.331,0.417,0.559,0.976
159,Jim O'Rourke HOF,1945,23,1872,1904,0,50,1999,9052,8503,1729,2639,468,149,62,1208,229,12,513,362,0.31,0.352,0.422,0.775
160,Mel Ott HOF,1951,22,1926,1947,12,104,2730,11348,9456,1859,2876,488,72,511,1860,89,,1708,896,0.304,0.414,0.533,0.947
164,Tony Perez HOF,2000,23,1964,1986,7,50.1,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,0.279,0.341,0.463,0.804
167,Kirby Puckett HOF,2001,12,1984,1995,10,48.2,1783,7831,7244,1071,2304,414,57,207,1085,134,76,450,965,0.318,0.36,0.477,0.837
169,Pee Wee Reese HOF,1984,16,1940,1958,10,63.1,2166,9470,8058,1338,2170,330,80,126,885,232,45,1210,890,0.269,0.366,0.377,0.743
170,Jim Rice HOF,2009,16,1974,1989,8,44.3,2089,9058,8225,1249,2452,373,79,382,1451,58,34,670,1423,0.298,0.352,0.502,0.854
171,Sam Rice HOF,1963,20,1915,1934,0,48,2404,10247,9269,1514,2987,498,184,34,1078,351,143,708,275,0.322,0.374,0.427,0.801
173,Cal Ripken HOF,2007,21,1981,2001,19,90.9,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,0.276,0.34,0.447,0.788
175,Phil Rizzuto HOF,1994,13,1941,1956,5,38.1,1661,6718,5816,877,1588,239,62,38,563,149,58,651,398,0.273,0.351,0.355,0.706
177,Brooks Robinson HOF,1983,23,1955,1977,18,72.7,2896,11782,10654,1232,2848,482,68,268,1357,28,22,860,990,0.267,0.322,0.401,0.723
178,Frank Robinson HOF,1982,21,1956,1976,14,100.9,2808,11742,10006,1829,2943,528,72,586,1812,204,77,1420,1532,0.294,0.389,0.537,0.926
179,Jackie Robinson HOF,1962,10,1947,1956,6,58.7,1382,5804,4877,947,1518,273,54,137,734,197,30,740,291,0.311,0.409,0.474,0.883
181,Edd Roush HOF,1962,18,1913,1931,0,43,1967,8155,7363,1099,2376,339,182,68,981,268,92,484,260,0.323,0.369,0.446,0.815
184,Babe Ruth HOF,1936,22,1914,1935,2,159.2,2503,10620,8399,2174,2873,506,136,714,2213,123,117,2062,1330,0.342,0.474,0.69,1.164
186,Ryne Sandberg HOF,2005,16,1981,1997,10,64.9,2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,0.285,0.344,0.452,0.795
187,Ron Santo HOF,2012,15,1960,1974,9,66.6,2243,9397,8143,1138,2254,365,67,342,1331,35,41,1108,1343,0.277,0.362,0.464,0.826
188,Ray Schalk HOF,1955,18,1912,1929,0,25,1762,6228,5306,579,1345,199,49,11,594,177,69,638,358,0.253,0.34,0.316,0.656
189,Mike Schmidt HOF,1995,18,1972,1989,12,103,2404,10062,8352,1506,2234,408,59,548,1595,174,92,1507,1883,0.267,0.38,0.527,0.908
190,Red Schoendienst HOF,1989,19,1945,1963,10,39,2216,9224,8479,1223,2449,427,78,84,773,89,27,606,346,0.289,0.337,0.387,0.724
192,Joe Sewell HOF,1977,14,1920,1933,0,49.2,1903,8333,7132,1141,2226,436,68,49,1055,74,72,842,114,0.312,0.391,0.413,0.804
193,Al Simmons HOF,1953,20,1924,1944,3,64.3,2215,9518,8759,1507,2927,539,149,307,1827,88,65,615,737,0.334,0.38,0.535,0.915
194,George Sisler HOF,1939,15,1915,1930,0,51.1,2055,9013,8267,1284,2812,425,164,102,1175,375,127,472,327,0.34,0.379,0.468,0.847
195,Enos Slaughter HOF,1985,19,1938,1959,10,51.3,2380,9086,7946,1247,2383,413,148,169,1304,71,15,1018,538,0.3,0.382,0.453,0.834
196,Ozzie Smith HOF,2002,19,1978,1996,15,73,2573,10778,9396,1257,2460,402,69,28,793,580,148,1072,589,0.262,0.337,0.328,0.666
197,Duke Snider HOF,1980,18,1947,1964,8,63.1,2143,8237,7161,1259,2116,358,85,407,1333,99,50,971,1237,0.295,0.38,0.54,0.919
201,Tris Speaker HOF,1937,22,1907,1928,0,127.8,2789,11991,10195,1882,3514,792,222,117,1529,436,157,1381,395,0.345,0.428,0.5,0.928
202,Willie Stargell HOF,1988,21,1962,1982,7,54.2,2360,9027,7927,1195,2232,423,55,475,1540,17,16,937,1936,0.282,0.36,0.529,0.889
206,Bill Terry HOF,1954,14,1923,1936,3,52.1,1721,7108,6428,1120,2193,373,112,154,1078,56,6,537,449,0.341,0.393,0.506,0.899
207,Sam Thompson HOF,1974,15,1885,1906,0,42.1,1410,6525,5998,1262,1988,343,161,126,1305,232,,451,234,0.331,0.384,0.505,0.89
208,Joe Tinker HOF,1946,15,1902,1916,0,50.4,1806,7152,6441,774,1690,263,114,31,783,336,12,416,525,0.262,0.308,0.353,0.661
209,Pie Traynor HOF,1948,17,1920,1937,2,33.8,1941,8297,7559,1183,2416,371,164,58,1273,158,46,472,278,0.32,0.362,0.435,0.797
211,Arky Vaughan HOF,1985,14,1932,1948,9,70.5,1817,7722,6622,1173,2103,356,128,96,926,118,,937,276,0.318,0.406,0.453,0.859
213,Honus Wagner HOF,1936,21,1897,1917,0,126.2,2794,11748,10439,1739,3420,643,252,101,1733,723,26,963,737,0.328,0.391,0.467,0.858
214,Bobby Wallace HOF,1953,25,1894,1918,0,66,2383,9612,8618,1057,2309,391,143,34,1121,201,10,774,562,0.268,0.332,0.358,0.69
216,Lloyd Waner HOF,1967,18,1927,1945,1,22,1993,8334,7772,1201,2459,281,118,27,598,67,,420,173,0.316,0.353,0.393,0.747
217,Paul Waner HOF,1952,20,1926,1945,4,69.8,2549,10766,9459,1627,3152,605,191,113,1309,104,0,1091,376,0.333,0.404,0.473,0.878
218,Monte Ward HOF,1964,17,1878,1894,0,34.8,1827,8114,7656,1410,2107,231,96,26,869,540,,421,326,0.275,0.314,0.341,0.655
220,Zack Wheat HOF,1959,19,1909,1927,0,56.9,2410,9996,9106,1289,2884,476,172,132,1248,205,69,650,572,0.317,0.367,0.45,0.817
222,Billy Williams HOF,1987,18,1959,1976,6,59.9,2488,10519,9350,1410,2711,434,88,426,1475,90,49,1045,1046,0.29,0.361,0.492,0.853
224,Ted Williams HOF,1966,19,1939,1960,19,119.8,2292,9788,7706,1798,2654,525,71,521,1839,24,17,2021,709,0.344,0.482,0.634,1.116
226,Hack Wilson HOF,1979,12,1923,1934,0,37.3,1348,5556,4760,884,1461,266,67,244,1063,52,5,674,713,0.307,0.395,0.545,0.94
227,Dave Winfield HOF,2001,22,1973,1995,12,59.4,2973,12358,11003,1669,3110,540,88,465,1833,223,96,1216,1686,0.283,0.353,0.475,0.827
231,Carl Yastrzemski HOF,1989,23,1961,1983,18,90.1,3308,13992,11988,1816,3419,646,59,452,1844,168,116,1845,1393,0.285,0.379,0.462,0.841
233,Ross Youngs HOF,1972,10,1917,1926,0,30.9,1211,5336,4627,812,1491,236,93,42,592,153,83,550,390,0.322,0.399,0.441,0.839
234,Robin Yount HOF,1999,20,1974,1993,3,72.4,2856,12249,11008,1632,3142,583,126,251,1406,271,105,966,1350,0.285,0.342,0.43,0.772
